metric,ref_period,year,n_ref,n_year,mean_ref,mean_year,diff,t_value,p_raw,effect_size_d,p_fdr,significant
log_pos_conn_ratio,2020–2022,2024,3680,2447,0.03384873632564804,0.03253308384458078,-0.001315652481067263,2.818870423094859,0.004837346711543638,-0.0735112517318079,,False
log_pos_conn_ratio,2020–2022,2025,3680,2143,0.03384873632564804,0.03133384041063929,-0.0025148959150087524,5.506005516629314,3.859259860371404e-08,-0.14752900151621504,,False
logic_operators,2020–2022,2023,3680,1796,0.03391654291498901,0.034525250556792876,0.000608707641803867,-1.1851615695736866,0.23603854197235566,0.03458760372164374,,False
logic_operators,2020–2022,2024,3680,2447,0.03391654291498901,0.04252245807770961,0.0086059151627206,-12.338967420187908,3.0209419192299853e-34,0.3394264753796876,,False
logic_operators,2020–2022,2025,3680,2143,0.03391654291498901,0.0426352356509566,0.008718692735967593,-15.745147418631042,4.579938982827045e-54,0.4426395149573853,,False
lsa_adj_mean,2020–2022,2023,3680,1796,0.8364464991537862,0.8371653062360802,0.0007188070822939929,-0.22009845206409098,0.8258065207380316,0.006278563671299943,,False
lsa_adj_mean,2020–2022,2024,3680,2447,0.8364464991537862,0.8010767034764826,-0.035369795677303584,8.090031709143755,8.048234068595048e-16,-0.22064619856070455,,False
lsa_adj_mean,2020–2022,2025,3680,2143,0.8364464991537862,0.8255031731217919,-0.010943326031994327,3.361491919103188,0.0007818907839208127,-0.09172069633799916,,False
lsa_adj_std,2020–2022,2023,3680,1796,0.03861037459433978,0.03589353006681515,-0.002716844527524631,2.7291532831675336,0.00637887638359341,-0.07753609577283987,,False
lsa_adj_std,2020–2022,2024,3680,2447,0.03861037459433978,0.035334985685071575,-0.0032753889092682065,3.4906792690778397,0.00048571923069998246,-0.09090057176264535,,False
lsa_adj_std,2020–2022,2025,3680,2143,0.03861037459433978,0.03861502099860009,4.646404260309767e-06,-0.005106612796323674,0.9959257349215305,0.00013626397852274479,,False
lsa_all_mean,2020–2022,2023,3680,1796,0.8298152986200594,0.8318586135857462,0.002043314965686771,-0.6323154162838643,0.5272193454143537,0.018020559779937998,,False
lsa_all_mean,2020–2022,2024,3680,2447,0.8298152986200594,0.7972472474437627,-0.032568051176296686,7.505222041798386,7.666278316000812e-14,-0.20468879228610906,,False
lsa_all_mean,2020–2022,2025,3680,2143,0.8298152986200594,0.8215816658889409,-0.008233632731118545,2.548353077201269,0.010857226081193033,-0.06952695320875843,,False
lsa_all_std,2020–2022,2023,3680,1796,0.04497646314501611,0.04276249443207128,-0.002213968712944832,2.2292585583635955,0.025857020772927362,-0.06379860543870407,,False
lsa_all_std,2020–2022,2024,3680,2447,0.04497646314501611,0.04190521881390593,-0.0030712443311101817,3.324080937057958,0.0008932246445863574,-0.08676649426687723,,False
lsa_all_std,2020–2022,2025,3680,2143,0.04497646314501611,0.04495612692487167,-2.0336220144440142e-05,0.022328726496456362,0.9821866651323188,-0.0006000296544958833,,False
lsa_givenness_mean,2020–2022,2023,3680,1796,0.8617396338681964,0.8626115144766147,0.0008718806084182518,-0.27334614509984473,0.784602113103696,0.00778133696465735,,False
lsa_givenness_mean,2020–2022,2024,3680,2447,0.8617396338681964,0.8268025112474436,-0.03493712262075277,7.932462663269118,2.849195720688036e-15,-0.21679265439301829,,False
lsa_givenness_mean,2020–2022,2025,3680,2143,0.8617396338681964,0.8553747223518432,-0.006364911516353211,1.9728865732894367,0.04857204019465159,-0.053906285560719025,,False
lsa_givenness_std,2020–2022,2023,3680,1796,0.03962253079406906,0.038660144766146994,-0.0009623860279220631,1.0074057771136726,0.31380867304068544,-0.029030396806092273,,False
lsa_givenness_std,2020–2022,2024,3680,2447,0.03962253079406906,0.037832,-0.001790530794069059,2.0578250312134574,0.03965683375891956,-0.05376243113647305,,False
lsa_givenness_std,2020–2022,2025,3680,2143,0.03962253079406906,0.04046822678488101,0.0008456959908119538,-0.9880279240024178,0.3231891452390745,0.02657100827124049,,False
lsa_paragraph_mean,2020–2022,2023,3680,1796,0.0,0.0,0.0,,,,,False
lsa_paragraph_mean,2020–2022,2024,3680,2447,0.0,0.0,0.0,,,,,False
lsa_paragraph_mean,2020–2022,2025,3680,2143,0.0,0.0,0.0,,,,,False
lsa_paragraph_std,2020–2022,2023,3680,1796,0.0,0.0,0.0,,,,,False
lsa_paragraph_std,2020–2022,2024,3680,2447,0.0,0.0,0.0,,,,,False
lsa_paragraph_std,2020–2022,2025,3680,2143,0.0,0.0,0.0,,,,,False
lsa_span_mean,2020–2022,2023,3680,1796,0.8680107813551232,0.8683119042316257,0.00030112287650252423,-0.09432834173372473,0.9248533488776935,0.0026853905740736447,,False
lsa_span_mean,2020–2022,2024,3680,2447,0.8680107813551232,0.8323244826175868,-0.03568629873753637,8.074392791033853,9.183645662481308e-16,-0.220725857659104,,False
lsa_span_mean,2020–2022,2025,3680,2143,0.8680107813551232,0.8616450069995333,-0.006365774355589937,1.9712507525483478,0.04875885097466893,-0.0538653035030735,,False
lsa_span_std,2020–2022,2023,3680,1796,0.04044626537719251,0.039510361915367484,-0.0009359034618250245,0.9779630492483277,0.3281596229756616,-0.028197562491814387,,False
lsa_span_std,2020–2022,2024,3680,2447,0.04044626537719251,0.03877759100204498,-0.001668674375147526,1.9239199027575011,0.05441914957074789,-0.050241005606301715,,False
lsa_span_std,2020–2022,2025,3680,2143,0.04044626537719251,0.04121044330377975,0.0007641779265872423,-0.907864855118702,0.3639945874757281,0.024324535724573774,,False
min_cw_freq,2020–2022,2023,3680,1796,1353.3065075355594,1519.3342924331846,166.02778489762522,-1.0693366488062477,0.28496515467009825,0.02730209120722053,,False
min_cw_freq,2020–2022,2024,3680,2447,1353.3065075355594,3524.1539695664624,2170.847462030903,-8.309612576282703,1.3040646366358436e-16,0.22445880898145576,,False
min_cw_freq,2020–2022,2025,3680,2143,1353.3065075355594,1685.5118178581429,332.2053103225835,-1.7725699137472117,0.07635868387145793,0.046913305603268333,,False
min_cw_freq_bra,2020–2022,2023,3680,1796,1.9194198825193887,2.083457438752784,0.16403755623339533,-5.880603209144705,4.4502151768317e-09,0.16804772640653867,,False
min_cw_freq_bra,2020–2022,2024,3680,2447,1.9194198825193887,2.127485186094069,0.20806530357468045,-7.572800557460263,4.337427617884809e-14,0.19929868520829827,,False
min_cw_freq_bra,2020–2022,2025,3680,2143,1.9194198825193887,1.9184399393373777,-0.0009799431820110005,0.03750535589213113,0.970083666191589,-0.0010113879614498805,,False
min_cw_freq_brwac,2020–2022,2023,3680,1796,1.5139777564825907,1.6622928674832964,0.1483151110007057,-6.049864521884096,1.595466513658135e-09,0.17322566856739252,,False
min_cw_freq_brwac,2020–2022,2024,3680,2447,1.5139777564825907,1.7358982044989775,0.22192044801638677,-9.046854361178504,2.0978863344977727e-19,0.23891938250030953,,False
min_cw_freq_brwac,2020–2022,2025,3680,2143,1.5139777564825907,1.5452111665888941,0.031233410106303428,-1.3579455677709906,0.17454706198706296,0.03669190667467157,,False
min_freq_bra,2020–2022,2023,3680,1796,1.8565946221840544,2.0029688307349667,0.14637420855091232,-5.292304348641003,1.2783108537051018e-07,0.15134106979049475,,False
min_freq_bra,2020–2022,2024,3680,2447,1.8565946221840544,2.071959934560327,0.21536531237627266,-7.840677721047746,5.470052634234555e-15,0.20668737373075707,,False
min_freq_bra,2020–2022,2025,3680,2143,1.8565946221840544,1.8679751049930007,0.011380482808946324,-0.438671307421616,0.6609200344952577,0.01183990795279092,,False
min_freq_brwac,2020–2022,2023,3680,1796,1.4623395571129836,1.596196408685969,0.13385685157298544,-5.514742550772644,3.735747659617153e-08,0.15803805316074318,,False
min_freq_brwac,2020–2022,2024,3680,2447,1.4623395571129836,1.6857692965235174,0.2234297394105338,-9.139285637218846,9.131157131674737e-20,0.24170493447551147,,False
min_freq_brwac,2020–2022,2025,3680,2143,1.4623395571129836,1.504668226784881,0.04232866967189741,-1.855332252895295,0.06361266452143087,0.05018661520231983,,False
negation_ratio,2020–2022,2023,3680,1796,0.0018973115284676107,0.002150796213808463,0.00025348468534085243,-1.0610736528594185,0.2887640125200184,0.033106568960957976,,False
